2014-03-03 16:03:05.403 TouchPointLogger[4653:60b] (00, 150.000000,	203.000000)
2014-03-03 16:03:05.552 TouchPointLogger[4653:60b] (00, 153.000000,	210.000000)
2014-03-03 16:03:05.568 TouchPointLogger[4653:60b] (00, 153.000000,	213.000000)
2014-03-03 16:03:05.585 TouchPointLogger[4653:60b] (00, 153.000000,	216.000000)
2014-03-03 16:03:05.602 TouchPointLogger[4653:60b] (00, 153.000000,	220.500000)
2014-03-03 16:03:05.618 TouchPointLogger[4653:60b] (00, 153.000000,	224.500000)
2014-03-03 16:03:05.635 TouchPointLogger[4653:60b] (00, 153.000000,	229.000000)
2014-03-03 16:03:05.651 TouchPointLogger[4653:60b] (00, 153.000000,	233.500000)
2014-03-03 16:03:05.668 TouchPointLogger[4653:60b] (00, 153.500000,	238.000000)
2014-03-03 16:03:05.685 TouchPointLogger[4653:60b] (00, 154.000000,	242.000000)
2014-03-03 16:03:05.701 TouchPointLogger[4653:60b] (00, 154.000000,	246.000000)
2014-03-03 16:03:05.718 TouchPointLogger[4653:60b] (00, 154.500000,	249.000000)
2014-03-03 16:03:05.735 TouchPointLogger[4653:60b] (00, 155.000000,	252.500000)
2014-03-03 16:03:05.751 TouchPointLogger[4653:60b] (00, 155.000000,	255.500000)
2014-03-03 16:03:05.768 TouchPointLogger[4653:60b] (00, 155.000000,	258.000000)
2014-03-03 16:03:05.785 TouchPointLogger[4653:60b] (00, 155.500000,	260.500000)
2014-03-03 16:03:05.802 TouchPointLogger[4653:60b] (00, 155.500000,	263.000000)
2014-03-03 16:03:05.818 TouchPointLogger[4653:60b] (00, 156.000000,	265.000000)
2014-03-03 16:03:05.835 TouchPointLogger[4653:60b] (00, 156.000000,	267.000000)
2014-03-03 16:03:05.851 TouchPointLogger[4653:60b] (00, 156.000000,	269.000000)
2014-03-03 16:03:05.868 TouchPointLogger[4653:60b] (00, 156.500000,	271.000000)
2014-03-03 16:03:05.885 TouchPointLogger[4653:60b] (00, 157.000000,	273.500000)
2014-03-03 16:03:05.901 TouchPointLogger[4653:60b] (00, 157.500000,	275.500000)
2014-03-03 16:03:05.918 TouchPointLogger[4653:60b] (00, 158.000000,	277.000000)
2014-03-03 16:03:05.935 TouchPointLogger[4653:60b] (00, 158.000000,	278.500000)
2014-03-03 16:03:05.951 TouchPointLogger[4653:60b] (00, 158.500000,	280.000000)
2014-03-03 16:03:05.968 TouchPointLogger[4653:60b] (00, 159.000000,	281.500000)
2014-03-03 16:03:05.985 TouchPointLogger[4653:60b] (00, 159.000000,	283.000000)
2014-03-03 16:03:06.001 TouchPointLogger[4653:60b] (00, 159.500000,	284.500000)
2014-03-03 16:03:06.018 TouchPointLogger[4653:60b] (00, 159.500000,	285.500000)
2014-03-03 16:03:06.035 TouchPointLogger[4653:60b] (00, 160.000000,	287.000000)
2014-03-03 16:03:06.051 TouchPointLogger[4653:60b] (00, 160.000000,	288.000000)
